COMMON NAME,HABITAT
Sandwich Tern,Shorelines
Pink-footed Goose,Tundra
Royal Tern,Shorelines
Common Goldeneye,Lakes and Ponds
Horned Lark,Grasslands
Blue-winged Warbler,Open Woodlands
Vesper Sparrow,Grasslands
Fish Crow,Shorelines
Trumpeter Swan,Lakes and Ponds
Gray-crowned Rosy-Finch,Tundra
White Ibis,Marshes
Spotted Sandpiper,Shorelines
Bay-breasted Warbler,Forests
Western Flycatcher,Forests
Blue Jay,Forests
Red-winged Blackbird,Marshes
Mourning Warbler,Forests
Northern Pintail,Marshes
Osprey,Oceans
Summer Tanager,Open Woodlands
Pine Grosbeak,Open Woodlands
Wilson's Snipe,Marshes
Dark-eyed Junco,Forests
Common Merganser,Lakes and Ponds
Blackburnian Warbler,Forests
Olive-sided Flycatcher,Open Woodlands
Baltimore Oriole,Forests
Black Guillemot,Oceans
Marbled Godwit,Grasslands
Black-throated Green Warbler,Forests
Snow Goose,Lakes and Ponds
Ross's Goose,Lakes and Ponds
Harris's Sparrow,Forests
American Pipit,Tundra
Black-chinned Hummingbird,Open Woodlands
Eastern Phoebe,Open Woodlands
Sabine's Gull,Oceans
Canada Warbler,Forests
Ring-billed Gull,Lakes and Ponds
Wild Turkey,Open Woodlands
Piping Plover,Shorelines
Magnolia Warbler,Forests
Eastern Meadowlark,Grasslands
Blackpoll Warbler,Forests
Warbling Vireo,Open Woodlands
Sharp-tailed Sandpiper,Tundra
Northern Wheatear,Tundra
Downy Woodpecker,Forests
Black-backed Woodpecker,Forests
Eastern Screech-Owl,Forests
Northern Flicker,Open Woodlands
Rose-breasted Grosbeak,Forests
Wilson's Storm-Petrel,Oceans
Swainson's Warbler,Forests
Great Cormorant,Shorelines
Thick-billed Murre,Oceans
Rock Pigeon,Towns
Yellow-crowned Night Heron,Marshes
Eastern Kingbird,Grasslands
Short-billed Gull,Shorelines
Scott's Oriole,Open Woodlands
King Rail,Marshes
Pectoral Sandpiper,Grasslands
Yellow-billed Cuckoo,Open Woodlands
Seaside Sparrow,Marshes
Razorbill,Oceans
Black Vulture,Grasslands
Barred Owl,Forests
Black-billed Magpie,Open Woodlands
Ovenbird,Forests
Bald Eagle,Forests
Pied-billed Grebe,Lakes and Ponds
Red Crossbill,Forests
Red Knot,Shorelines
Boreal Chickadee,Forests
African Collared-Dove,Open Woodlands
Purple Martin,Lakes and Ponds
Rusty Blackbird,Forests
White-winged Dove,Towns
Loggerhead Shrike,Open Woodlands
Horned Grebe,Lakes and Ponds
Prairie Warbler,Scrub
Mourning Dove,Open Woodlands
Dovekie,Oceans
Spotted Towhee,Scrub
Wilson's Warbler,Scrub
Ruddy Duck,Marshes
Blue Grosbeak,Open Woodlands
Orchard Oriole,Open Woodlands
Barn Swallow,Grasslands
Virginia Rail,Marshes
Swainson's Thrush,Forests
Yellow-breasted Chat,Scrub
Gyrfalcon,Tundra
Egyptian Goose,Lakes and Ponds
